1,黑莓9530,屏幕清晰,0.93
2,黑莓9530,电池耐用,0.18
3,黑莓9530,系统流畅,0.21
4,黑莓9530,性价比高,0.14
5,黑莓9300,<10,
6,阿尔卡特OT 800,外观漂亮,0.11
7,阿尔卡特OT 800,功能丰富,0.23
8,阿尔卡特OT 800,屏幕清晰,0.17
9,阿尔卡特OT 800,键盘灵敏,0.37
10,黑莓9630（Tour）,外观漂亮,0.27
11,黑莓9630（Tour）,性能高,0.18
12,黑莓9630（Tour）,总体不错,0.18
13,黑莓9630（Tour）,系统流畅,0.36
14,黑莓9630（Tour）,键盘灵敏,0.18
15,黑莓9630（Tour）,屏幕清晰,0.36
16,黑莓9630（Tour）,流畅度高,0.27
17,黑莓9630（Tour）,性价比高,0.18
18,天语A901C,<10,
19,黑莓9900,易用性高,0.16
20,黑莓9900,键盘灵敏,0.32
21,黑莓9900,屏幕清晰,0.63
22,黑莓9900,电池耐用,0.32
23,黑莓9900,拍照效果好,0.11
24,黑莓9900,性价比高,0.11
25,黑莓9900,价格低 ,0.26
26,黑莓9900,系统流畅,0.26
27,金立S608,<10,
28,黑莓8520,<10,
29,三星B309,<10,
30,黑莓9700（Onyx）,键盘灵敏,0.42
31,黑莓9700（Onyx）,屏幕清晰,0.29
32,黑莓9700（Onyx）,系统流畅,0.21
33,黑莓9700（Onyx）,软件丰富,0.42
34,黑莓9700（Onyx）,外观漂亮,0.25
35,黑莓9700（Onyx）,上网流畅,0.17
36,Altek T8680,价格低,0.17
37,Altek T8680,功能丰富,0.42
38,Altek T8680,屏幕清晰,0.12
40,金立I8,<10,
41,诺基亚5230,拍照效果好,0.21
42,诺基亚5230,外观漂亮,0.12
43,诺基亚5230,软件丰富,0.16
44,诺基亚5230,总体不错,0.17
45,诺基亚5230,屏幕清晰,0.50
46,诺基亚5230,电池耐用,0.14
47,诺基亚5230,性价比高,0.12
48,飞利浦X806,性价比高,0.13
49,飞利浦X806,屏幕清晰,0.40
50,飞利浦X806,功能丰富,0.13
51,Altek A806,外观漂亮,0.50
52,Altek A806,电池耐用,0.31
53,Altek A806,屏幕清晰,0.38
54,Altek A806,键盘灵敏,0.19
55,Altek A806,拍照效果好,0.56
56,Altek A806,闪光灯不错,0.12
57,金立V200,<10,
58,黑莓9650,键盘灵敏,0.33
59,黑莓9650,电池耐用,0.17
60,黑莓9650,系统流畅,0.25
61,黑莓9650,软件丰富,0.33
62,黑莓9650,外观不错,0.17
63,黑莓9650,屏幕清晰,0.42
64,黑莓9650,拍照效果好,0.25
65,黑莓9650,上网流畅,0.17
66,LG GD580 棒棒糖,拍照效果好,0.15
67,LG GD580 棒棒糖,功能丰富,0.14
68,LG GD580 棒棒糖,总体不错,0.15
69,LG GD580 棒棒糖,屏幕清晰,0.31
70,LG GD580 棒棒糖,键盘不错,0.11
71,LG GD580 棒棒糖,软件丰富,0.20
72,LG GD580 棒棒糖,外观可以,0.40
73,诺基亚1280,声音大,0.21
74,诺基亚1280,电池耐用,0.11
75,诺基亚1280,外壳结实,0.14
76,诺基亚1280,信号好,0.18
77,诺基亚1280,屏幕一般,0.11
78,三星W799,价格,0.32
79,三星W799,智能机,0.16
80,三星W799,功能丰富,0.11
81,三星W799,性价比低,0.16
82,三星W799,外观不错,0.21
83,诺基亚N8,屏幕清晰,0.22
84,诺基亚N8,屏幕灵敏度高,0.22
85,诺基亚N8,外观漂亮,0.18
86,诺基亚N8,软件丰富,0.19
87,诺基亚N8,流畅度高,0.27
88,诺基亚N8,电池耐用,0.17
89,诺基亚N8,价格高,0.11
90,诺基亚N8,系统一般,0.22
